pos1_est	pos2_est	vel_est	yaw_angle_est	yaw_rate_est	px_measured	py_measured	px_gt	py_gt	vx_gt	vy_gt	rmse_x	rmse_y	rmse_vx	rmse_vy	NIS
13.7605	2.52124	5.1099	0.38035	0.200472	13.836	2.62479	13.6955	2.65053	4.52448	2.23703	0.0701698	0.116725	0.911908	0.594083	0.891477	
13.9873	2.62462	5.10129	0.394246	0.204528	13.8302	2.73893	13.9208	2.7643	4.48147	2.31134	0.0701043	0.117191	0.90396	0.590501	0.72007	
14.2128	2.77886	5.10676	0.422891	0.220104	14.2106	2.94205	14.1439	2.88179	4.43656	2.38601	0.070084	0.116947	0.896197	0.586416	1.58458	
14.4548	2.88015	5.11702	0.430357	0.21591	14.5568	2.87021	14.3646	3.00303	4.38974	2.46099	0.070494	0.117056	0.888842	0.582789	0.897653	
14.6634	2.97706	5.09832	0.440038	0.215507	14.4616	2.90734	14.583	3.12802	4.34097	2.5362	0.0706798	0.117735	0.881745	0.579667	2.26845	
14.8912	3.11148	5.10674	0.457869	0.220587	14.6754	3.96041	14.7989	3.25679	4.29021	2.61157	0.071109	0.118265	0.874943	0.576527	4.30141	
15.0964	3.29843	5.11027	0.494201	0.242174	15.0261	3.5067	15.0122	3.38932	4.23744	2.68703	0.0713506	0.117854	0.868164	0.572646	2.89434	
15.315	3.44502	5.10955	0.515589	0.251106	15.3685	4.14761	15.2228	3.52563	4.18263	2.76249	0.0717473	0.11733	0.861566	0.568721	3.18128	
15.5229	3.63507	5.11876	0.549092	0.268773	15.5236	3.82936	15.4306	3.66572	4.12575	2.83789	0.0721306	0.11643	0.85503	0.564442	2.21935	
15.7387	3.76175	5.11435	0.560526	0.26748	15.7234	3.4105	15.6355	3.80957	4.06678	2.91315	0.0727362	0.115647	0.848774	0.560415	0.639404	
15.952	3.92217	5.12023	0.58118	0.273508	15.9774	4.00094	15.8375	3.95719	4.00571	2.98817	0.0735857	0.11481	0.842717	0.556397	0.382814	
16.1584	4.07496	5.11355	0.601468	0.2814	16.3376	4.21632	16.0363	4.10854	3.94251	3.0629	0.0745868	0.113987	0.836807	0.552439	2.21802	
16.3515	4.2755	5.12176	0.634094	0.296992	16.3313	4.44499	16.2319	4.26363	3.87716	3.13723	0.075484	0.113117	0.830919	0.548321	1.7201	
16.562	4.42925	5.12518	0.648387	0.296462	16.7586	4.48231	16.4242	4.42242	3.80966	3.21109	0.0768085	0.11226	0.825297	0.544339	0.475075	
16.7394	4.61476	5.12012	0.675772	0.307441	16.6039	4.67344	16.613	4.5849	3.74	3.28438	0.0777817	0.111478	0.819706	0.540354	1.19956	
16.9129	4.8006	5.10348	0.707729	0.326859	16.9236	5.10119	16.7983	4.75103	3.66817	3.35704	0.0784487	0.110819	0.814054	0.536387	6.60691	
17.0765	5.02917	5.11058	0.746221	0.345469	16.9955	5.21099	16.9799	4.92077	3.59416	3.42897	0.0787402	0.110784	0.808358	0.532508	2.35932	
17.254	5.20085	5.09995	0.766692	0.350828	17.3421	4.64623	17.1579	5.09409	3.51797	3.50008	0.0790161	0.110728	0.802777	0.52871	2.2063	
