pos1_est	pos2_est	vel_est	yaw_angle_est	yaw_rate_est	px_measured	py_measured	px_gt	py_gt	vx_gt	vy_gt	rmse_x	rmse_y	rmse_vx	rmse_vy	NIS
12.7452	2.1379	5.39252	0.589542	1.72904	12.5924	2.17509	12.7743	2.23227	4.67842	1.94485	0.0740527	0.122098	1.35601	1.20668	2.31804	
13.0217	2.35269	6.67076	0.695488	1.67914	13.2198	2.66441	13.0075	2.33137	4.64258	2.01701	0.0733359	0.120909	1.34409	1.23647	1.63138	
13.195	2.46215	5.97488	0.65527	1.19059	13.0875	2.40708	13.2388	2.43409	4.605	2.08981	0.0728718	0.119782	1.33098	1.24341	1.09531	
13.3173	2.76925	6.43093	0.943185	2.1726	12.7087	3.12439	13.4682	2.54047	4.56565	2.16317	0.0751407	0.122794	1.32265	1.30166	5.13709	
13.6797	2.67145	5.23152	0.445024	-0.571754	13.836	2.62479	13.6955	2.65053	4.52448	2.23703	0.0744603	0.121664	1.3104	1.28932	3.44778	
13.8985	2.77923	5.3459	0.414144	-0.598706	13.8302	2.73893	13.9208	2.7643	4.48147	2.31134	0.07383	0.120549	1.29942	1.27751	0.0787229	
14.1437	2.91507	5.62373	0.422547	-0.395849	14.2106	2.94205	14.1439	2.88179	4.43656	2.38601	0.0731557	0.119533	1.29094	1.26589	0.35232	
14.4123	2.99167	5.79381	0.330155	-0.736831	14.5568	2.87021	14.3646	3.00303	4.38974	2.46099	0.0727794	0.11847	1.28764	1.25695	0.317755	
14.5981	2.96215	5.08883	0.120352	-1.55544	14.4616	2.90734	14.583	3.12802	4.34097	2.5362	0.0721659	0.119464	1.27977	1.27171	1.58176	
14.827	3.15728	5.4853	0.35891	-0.0920595	14.6754	3.96041	14.7989	3.25679	4.29021	2.61157	0.0716364	0.119148	1.27353	1.2639	3.94581	
15.0103	3.44238	5.46558	0.710089	1.41843	15.0261	3.5067	15.0122	3.38932	4.23744	2.68703	0.0710271	0.118336	1.26275	1.25832	0.749913	
15.2297	3.68151	6.1242	0.847844	1.6736	15.3685	4.14761	15.2228	3.52563	4.18263	2.76249	0.0704383	0.119059	1.2523	1.26996	1.70017	
15.456	3.83165	5.97311	0.776731	0.996897	15.5236	3.82936	15.4306	3.66572	4.12575	2.83789	0.0699341	0.119975	1.24211	1.27129	0.407751	
15.6792	3.93712	5.64809	0.654804	0.146409	15.7234	3.4105	15.6355	3.80957	4.06678	2.91315	0.0695886	0.120101	1.23317	1.26277	1.48399	
15.9203	4.01401	5.36789	0.507351	-0.495683	15.9774	4.00094	15.8375	3.95719	4.00571	2.98817	0.0698175	0.119359	1.22639	1.25362	0.340835	
16.1419	4.14132	5.05204	0.491664	-0.396987	16.3376	4.21632	16.0363	4.10854	3.94251	3.0629	0.0705167	0.118493	1.21845	1.24667	0.553119	
16.3147	4.39876	5.4184	0.706799	0.652998	16.3313	4.44499	16.2319	4.26363	3.87716	3.13723	0.0707219	0.118767	1.20942	1.23795	0.384797	
